Year,Region,State,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
2014,Central,Illinois,16202.707,-2043.7367,397,105,61,58,-0.12613550933186657,0.29336770084159397,0.5523809523809524
2014,Central,Indiana,2936.81,868.1476,72,17,11,0,0.29560904518848685,0.0,0.0
2014,Central,Iowa,1190.84,109.5012,7,2,1,0,0.09195290719156227,0.0,0.0
2014,Central,Kansas,1319.79,266.1984,16,6,3,0,0.20169754279089855,0.0,0.0
2014,Central,Michigan,6172.251,1817.1087,161,48,22,0,0.294399676876394,0.007789232809877628,0.0
2014,Central,Minnesota,15883.330000000002,6237.360699999999,103,23,9,0,0.392698552507566,0.0,0.0
2014,Central,Missouri,1648.03,444.2582,50,14,6,0,0.26956924327833837,0.0,0.0
2014,Central,Nebraska,210.01999999999998,58.1679,13,6,4,0,0.27696362251214174,0.0,0.0
2014,Central,Oklahoma,2639.35,762.0690999999999,40,12,4,0,0.288733627597704,0.0,0.0
2014,Central,South Dakota,162.15,48.756600000000006,10,4,2,0,0.3006882516188714,0.0,0.0
2014,Central,Texas,50625.1766,-9135.014,799,217,99,110,-0.1804440915273765,0.34618507211291394,0.5069124423963134
2014,Central,Wisconsin,4847.71,1106.7357,58,12,8,0,0.22830072343436383,0.0,0.0
2014,East,Connecticut,2794.02,745.3332,54,15,8,1,0.2667601520389976,0.007576180557046836,0.06666666666666667
2014,East,Delaware,4786.03,1338.5933,74,20,11,0,0.279687611653082,0.0,0.0
2014,East,Maine,617.12,256.9266,24,3,1,0,0.41633166969147006,0.0,0.0
2014,East,Maryland,1701.25,484.9964,48,13,5,0,0.2850823806024982,0.0,0.0
2014,East,Massachusetts,9900.106,2060.9683999999997,105,26,10,2,0.20817639730322077,0.027099891657725687,0.07692307692307693
2014,East,New Hampshire,504.48,108.595,29,5,2,0,0.21526125911830002,0.0,0.0
2014,East,New Jersey,4192.28,1244.199,79,20,11,0,0.2967833732479701,0.0,0.0
2014,East,New York,64788.487,13748.9448,746,194,107,12,0.21221277786591927,0.08085813919377374,0.061855670103092786
2014,East,Ohio,14134.85,-2131.0641,357,93,50,44,-0.15076665829492353,0.34065400057305173,0.4731182795698925
2014,East,Pennsylvania,20246.148,-2361.8177,429,115,53,52,-0.11665516324389212,0.3255037056925594,0.45217391304347826
2014,East,Rhode Island,5015.686,1563.9346,41,13,3,1,0.3118087137033698,0.023068788596415323,0.07692307692307693
2014,South,Alabama,6139.09,1250.7324,60,13,7,0,0.20373254016474757,0.0,0.0
2014,South,Arkansas,6302.6900000000005,2031.6858,82,17,7,0,0.32235217026380797,0.0,0.0
2014,South,Florida,34248.2605,-1412.7599,308,86,41,23,-0.04125055928022973,0.42208764807193644,0.26744186046511625
2014,South,Georgia,4540.1,1491.7121,121,29,15,0,0.3285637100504394,0.0,0.0
2014,South,Kentucky,8280.460000000001,2309.3975,107,30,11,0,0.2788972472543796,0.0,0.0
2014,South,Louisiana,2534.92,606.8026,52,15,5,0,0.23937741624982248,0.0,0.0
2014,South,Mississippi,2055.16,545.5312,41,14,5,0,0.2654446369139143,0.0,0.0
2014,South,North Carolina,8620.741,-1415.0991,168,43,24,10,-0.16415051791951527,0.3638523532953838,0.23255813953488372
